image,method,psnr,ssim,time
astronaut,standard_svd,-42.52857368920104,4.56044722278904e-05,0.36744070053100586
astronaut,adaptive_svd,28.018129031210634,0.9811268001035074,0.040842533111572266
astronaut,dct_svd,-23.389302689380713,0.016796752898938,0.1257925033569336
astronaut,svd_denoise,-42.51656420745819,3.2386276877425987e-05,0.3144397735595703
astronaut,jpeg,33.3591335584806,0.9584963751625214,0.008648872375488281
chelsea,standard_svd,-41.62340029344686,5.9288355298036454e-05,0.29979586601257324
chelsea,adaptive_svd,27.537799183579445,0.9679260065773865,0.02645087242126465
chelsea,dct_svd,-19.354311212480457,0.008150988734977169,0.10345625877380371
chelsea,svd_denoise,-41.62740550707382,2.342775134052672e-05,0.3113441467285156
chelsea,jpeg,35.31840259625281,0.9408367260533108,0.0025200843811035156
coffee,standard_svd,-41.088687421146986,5.0162412600916715e-05,0.28420209884643555
coffee,adaptive_svd,23.397392624190484,0.9104960657478149,0.025537490844726562
coffee,dct_svd,-22.070744051181144,0.005359757976776052,0.0967402458190918
coffee,svd_denoise,-41.0966128441237,2.4435575004904248e-05,0.33843517303466797
coffee,jpeg,32.05906534832317,0.9085132512787961,0.001279592514038086
